model,threshold,accuracy,precision,recall,sensitivity,specificity,f1_score,false_positive_rate,false_negative_rate,true_positives,false_positives,true_negatives,false_negatives,articles_flagged_for_review,review_workload_pct,workload_reduction_pct,total_positives,total_negatives,total_samples,model_key
Linear SVM (Calibrated),0.52,0.7808219178082192,0.6538461538461539,0.7083333333333334,0.7083333333333334,0.8163265306122449,0.68,0.1836734693877551,0.2916666666666667,17,9,40,7,26,35.61643835616438,64.38356164383562,24,49,73,linear_svc
Linear SVM (Calibrated),0.54,0.7945205479452054,0.68,0.7083333333333334,0.7083333333333334,0.8367346938775511,0.6938775510204082,0.16326530612244897,0.2916666666666667,17,8,41,7,25,34.24657534246575,65.75342465753424,24,49,73,linear_svc
Linear SVM (Calibrated),0.56,0.7945205479452054,0.68,0.7083333333333334,0.7083333333333334,0.8367346938775511,0.6938775510204082,0.16326530612244897,0.2916666666666667,17,8,41,7,25,34.24657534246575,65.75342465753424,24,49,73,linear_svc
Linear SVM (Calibrated),0.58,0.8082191780821918,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.8571428571428571,0.7083333333333334,0.14285714285714285,0.2916666666666667,17,7,42,7,24,32.87671232876712,67.12328767123287,24,49,73,linear_svc
Linear SVM (Calibrated),0.6,0.7945205479452054,0.7142857142857143,0.625,0.625,0.8775510204081632,0.6666666666666666,0.12244897959183673,0.375,15,6,43,9,21,28.767123287671232,71.23287671232876,24,49,73,linear_svc
Linear SVM (Calibrated),0.62,0.7945205479452054,0.7142857142857143,0.625,0.625,0.8775510204081632,0.6666666666666666,0.12244897959183673,0.375,15,6,43,9,21,28.767123287671232,71.23287671232876,24,49,73,linear_svc
Linear SVM (Calibrated),0.64,0.7808219178082192,0.7,0.5833333333333334,0.5833333333333334,0.8775510204081632,0.6363636363636364,0.12244897959183673,0.4166666666666667,14,6,43,10,20,27.397260273972602,72.6027397260274,24,49,73,linear_svc
Linear SVM (Calibrated),0.66,0.7397260273972602,0.6470588235294118,0.4583333333333333,0.4583333333333333,0.8775510204081632,0.5365853658536586,0.12244897959183673,0.5416666666666666,11,6,43,13,17,23.28767123287671,76.71232876712328,24,49,73,linear_svc
Linear SVM (Calibrated),0.68,0.7534246575342466,0.6875,0.4583333333333333,0.4583333333333333,0.8979591836734694,0.55,0.10204081632653061,0.5416666666666666,11,5,44,13,16,21.91780821917808,78.08219178082192,24,49,73,linear_svc
Linear SVM (Calibrated),0.7,0.7123287671232876,0.6153846153846154,0.3333333333333333,0.3333333333333333,0.8979591836734694,0.43243243243243246,0.10204081632653061,0.6666666666666666,8,5,44,16,13,17.80821917808219,82.1917808219178,24,49,73,linear_svc
Linear SVM (Calibrated),0.72,0.6986301369863014,0.6,0.25,0.25,0.9183673469387755,0.35294117647058826,0.08163265306122448,0.75,6,4,45,18,10,13.698630136986301,86.3013698630137,24,49,73,linear_svc
Linear SVM (Calibrated),0.74,0.6986301369863014,0.6,0.25,0.25,0.9183673469387755,0.35294117647058826,0.08163265306122448,0.75,6,4,45,18,10,13.698630136986301,86.3013698630137,24,49,73,linear_svc
Linear SVM (Calibrated),0.76,0.7123287671232876,0.6666666666666666,0.25,0.25,0.9387755102040817,0.36363636363636365,0.061224489795918366,0.75,6,3,46,18,9,12.32876712328767,87.67123287671232,24,49,73,linear_svc
Linear SVM (Calibrated),0.78,0.6986301369863014,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.9591836734693877,0.26666666666666666,0.04081632653061224,0.8333333333333334,4,2,47,20,6,8.21917808219178,91.78082191780823,24,49,73,linear_svc
Linear SVM (Calibrated),0.8,0.7123287671232876,1.0,0.125,0.125,1.0,0.2222222222222222,0.0,0.875,3,0,49,21,3,4.10958904109589,95.8904109589041,24,49,73,linear_svc
Linear SVM (Calibrated),0.82,0.7123287671232876,1.0,0.125,0.125,1.0,0.2222222222222222,0.0,0.875,3,0,49,21,3,4.10958904109589,95.8904109589041,24,49,73,linear_svc
Linear SVM (Calibrated),0.84,0.7123287671232876,1.0,0.125,0.125,1.0,0.2222222222222222,0.0,0.875,3,0,49,21,3,4.10958904109589,95.8904109589041,24,49,73,linear_svc
Linear SVM (Calibrated),0.86,0.6986301369863014,1.0,0.08333333333333333,0.08333333333333333,1.0,0.15384615384615385,0.0,0.9166666666666666,2,0,49,22,2,2.73972602739726,97.26027397260275,24,49,73,linear_svc
Linear SVM (Calibrated),0.88,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,linear_svc
Linear SVM (Calibrated),0.9,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,linear_svc
Linear SVM (Calibrated),0.92,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,linear_svc
Linear SVM (Calibrated),0.94,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,linear_svc
Linear SVM (Calibrated),0.96,0.6712328767123288,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,49,24,0,0.0,100.0,24,49,73,linear_svc
